,Tesla,Nio,Rivian,Lucid Motors,Ford,General Motors,Interest Rate,CCI,Oil Prices,CPI
2022-08-16,306.5633239746094,20.90999984741211,38.22999954223633,18.93000030517578,13.93928050994873,38.093990325927734,0.8556253,103.2,86.87,8.04803616793306
2022-08-17,303.9966735839844,20.079999923706055,36.41999816894531,18.459999084472656,13.599920272827148,37.517547607421875,0.8556253,103.2,87.68,8.04803616793306
2022-08-18,302.8699951171875,19.90999984741211,35.900001525878906,18.229999542236328,13.701727867126465,37.830196380615234,0.8556253,103.2,90.75,8.04803616793306
2022-08-19,296.6666564941406,19.049999237060547,34.45000076293945,16.75,13.472658157348633,38.78767776489258,0.8556253,103.2,90.77,8.04803616793306
2022-08-22,289.913330078125,18.950000762939453,33.060001373291016,16.100000381469727,12.793935775756836,37.66409683227539,0.8556253,103.2,90.23,8.04803616793306
2022-08-23,296.4533386230469,18.290000915527344,32.209999084472656,15.979999542236328,12.997551918029785,37.67387771606445,0.8556253,103.2,93.77,8.04803616793306
2022-08-24,297.0966796875,18.8700008392334,32.560001373291016,16.440000534057617,13.16723346710205,38.34800720214844,0.8556253,103.2,95.24,8.04803616793306
2022-08-25,296.07000732421875,20.079999923706055,32.900001525878906,16.979999542236328,13.515077590942383,39.461822509765625,0.8556253,103.2,92.92,8.04803616793306
2022-08-26,288.0899963378906,19.920000076293945,32.11000061035156,16.239999771118164,13.073908805847168,38.32847213745117,0.8556253,103.2,93.06,8.04803616793306
2022-08-29,284.82000732421875,19.809999465942383,32.310001373291016,16.170000076293945,13.2096529006958,38.60203170776367,0.8556253,103.2,96.79,8.04803616793306
2022-08-30,277.70001220703125,19.829999923706055,31.889999389648438,15.149999618530273,13.107845306396484,38.318058013916016,0.8556253,103.2,91.99,8.04803616793306
2022-08-31,275.6099853515625,19.90999984741211,32.709999084472656,15.34000015258789,12.929680824279785,37.417152404785156,0.8556253,103.2,89.2,8.04803616793306
2022-09-01,277.1600036621094,18.790000915527344,31.950000762939453,15.380000114440918,12.887258529663086,37.759883880615234,1.20424868,108.0,87.05,7.72921604833856
2022-09-02,270.2099914550781,17.729999542236328,32.06999969482422,15.15999984741211,12.861807823181152,37.671749114990234,1.20424868,108.0,86.87,7.72921604833856
2022-09-06,274.4200134277344,17.110000610351562,33.220001220703125,14.609999656677246,12.751514434814453,37.90677261352539,1.20424868,108.0,86.79,7.72921604833856
2022-09-07,283.70001220703125,17.479999542236328,33.25,14.699999809265137,13.090877532958984,39.2777214050293,1.20424868,108.0,81.93,7.72921604833856
2022-09-08,289.260009765625,17.68000030517578,36.880001068115234,14.989999771118164,13.124813079833984,39.65963363647461,1.20424868,108.0,82.96,7.72921604833856
2022-09-09,299.67999267578125,19.15999984741211,37.54999923706055,15.079999923706055,13.082390785217285,40.43323516845703,1.20424868,108.0,86.79,7.72921604833856
2022-09-12,304.4200134277344,21.75,38.7400016784668,16.549999237060547,13.18420124053955,41.177467346191406,1.20424868,108.0,88.03,7.72921604833856
2022-09-13,292.1300048828125,21.969999313354492,38.7599983215332,16.100000381469727,12.505477905273438,39.68900680541992,1.20424868,108.0,87.61,7.72921604833856
2022-09-14,302.6099853515625,21.940000534057617,40.099998474121094,16.6299991607666,12.437603950500488,39.77714157104492,1.20424868,108.0,88.93,7.72921604833856
2022-09-15,303.75,21.510000228881836,39.689998626708984,16.489999771118164,12.632740020751953,39.816307067871094,1.20424868,108.0,84.58,7.72921604833856
2022-09-16,303.3500061035156,20.149999618530273,39.2599983215332,16.18000030517578,12.488510131835938,39.14063262939453,1.20424868,108.0,85.11,7.72921604833856
2022-09-19,309.07000732421875,20.899999618530273,37.939998626708984,15.9399995803833,12.666674613952637,40.53116226196289,1.20424868,108.0,85.65,7.72921604833856
2022-09-20,308.7300109863281,20.40999984741211,35.75,15.34000015258789,11.105610847473145,38.24951171875,1.20424868,108.0,84.45,7.72921604833856
2022-09-21,300.79998779296875,18.299999237060547,35.099998474121094,15.5600004196167,11.071674346923828,36.89814758300781,1.20424868,108.0,82.81,7.72921604833856
2022-09-22,288.5899963378906,18.350000381469727,33.33000183105469,14.3100004196167,10.834121704101562,36.604373931884766,1.20424868,108.0,83.57,7.72921604833856
2022-09-23,275.3299865722656,17.639999389648438,33.560001373291016,14.029999732971191,10.443856239318848,34.74379348754883,1.20424868,108.0,78.74,7.72921604833856
2022-09-26,276.010009765625,17.6200008392334,33.849998474121094,14.0600004196167,10.17236614227295,34.312923431396484,1.20424868,108.0,76.72,7.72921604833856
2022-09-27,282.94000244140625,17.190000534057617,33.790000915527344,14.40999984741211,10.10449504852295,33.98977279663086,1.20424868,108.0,78.5,7.72921604833856
